Metric,Value,Test_Folder,Model_Format,Model_Name
Processing FPS,25.54 fps,test_4_10 seconds_15fps,onnx,yolov8n-seg
Total time,15.24 sec,test_4_10 seconds_15fps,onnx,yolo11m-seg
Video FPS,15 fps,test_4_10 seconds_15fps,onnx,yolo11m-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,onnx,yolo11m-seg
Average Frame Processing Time,0.1009 sec,test_4_10 seconds_15fps,onnx,yolo11m-seg
Target Class Score,0.78%,test_4_10 seconds_15fps,onnx,yolo11m-seg
Processing FPS,9.91 fps,test_4_10 seconds_15fps,onnx,yolo11m-seg
Total time,13.22 sec,test_4_10 seconds_15fps,onnx,yolov8m-seg
Video FPS,15 fps,test_4_10 seconds_15fps,onnx,yolov8m-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,onnx,yolov8m-seg
Average Frame Processing Time,0.0876 sec,test_4_10 seconds_15fps,onnx,yolov8m-seg
Target Class Score,0.39%,test_4_10 seconds_15fps,onnx,yolov8m-seg
Processing FPS,11.42 fps,test_4_10 seconds_15fps,onnx,yolov8m-seg
Total time,9.23 sec,test_4_10 seconds_15fps,onnx,yolo11s-seg
Video FPS,15 fps,test_4_10 seconds_15fps,onnx,yolo11s-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,onnx,yolo11s-seg
Average Frame Processing Time,0.0611 sec,test_4_10 seconds_15fps,onnx,yolo11s-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,onnx,yolo11s-seg
Processing FPS,16.36 fps,test_4_10 seconds_15fps,onnx,yolo11s-seg
Total time,9.90 sec,test_4_10 seconds_15fps,onnx,yolov8s-seg
Video FPS,15 fps,test_4_10 seconds_15fps,onnx,yolov8s-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,onnx,yolov8s-seg
Average Frame Processing Time,0.0655 sec,test_4_10 seconds_15fps,onnx,yolov8s-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,onnx,yolov8s-seg
Processing FPS,15.26 fps,test_4_10 seconds_15fps,onnx,yolov8s-seg
Total time,6.23 sec,test_4_10 seconds_15fps,onnx,yolo11n-seg
Video FPS,15 fps,test_4_10 seconds_15fps,onnx,yolo11n-seg
Video Duration,10.07 sec,test_4_10 seconds_15fps,onnx,yolo11n-seg
Average Frame Processing Time,0.0413 sec,test_4_10 seconds_15fps,onnx,yolo11n-seg
Target Class Score,0.00%,test_4_10 seconds_15fps,onnx,yolo11n-seg
Processing FPS,24.22 fps,test_4_10 seconds_15fps,onnx,yolo11n-seg
Total time,0.90 sec,test_0_1 seconds_30fps,Pt,yolov8n-seg
Video FPS,30 fps,test_0_1 seconds_30fps,Pt,yolov8n-seg
Video Duration,1.00 sec,test_0_1 seconds_30fps,Pt,yolov8n-seg
Average Frame Processing Time,0.0298 sec,test_0_1 seconds_30fps,Pt,yolov8n-seg
Target Class Score,36.07%,test_0_1 seconds_30fps,Pt,yolov8n-seg
Processing FPS,33.51 fps,test_0_1 seconds_30fps,Pt,yolov8n-seg
Total time,1.77 sec,test_0_1 seconds_30fps,Pt,yolo11m-seg
Video FPS,30 fps,test_0_1 seconds_30fps,Pt,yolo11m-seg
Video Duration,1.00 sec,test_0_1 seconds_30fps,Pt,yolo11m-seg
Average Frame Processing Time,0.0591 sec,test_0_1 seconds_30fps,Pt,yolo11m-seg
Target Class Score,51.16%,test_0_1 seconds_30fps,Pt,yolo11m-seg
Processing FPS,16.91 fps,test_0_1 seconds_30fps,Pt,yolo11m-seg
Total time,1.74 sec,test_0_1 seconds_30fps,Pt,yolov8m-seg
Video FPS,30 fps,test_0_1 seconds_30fps,Pt,yolov8m-seg
Video Duration,1.00 sec,test_0_1 seconds_30fps,Pt,yolov8m-seg
